Time (s),Jitter
4.2056e-05,4.2056E-09
6.9384649e-05,-0.000024672
0.000144097,2.7712E-09
0.000188298,-0.0000208
0.000275227,-0.000003072
0.000344452,4.224E-10
0.000413317,1.2864E-09
0.000460877,1.456E-09
0.000468253,-3.06245E-05
0.00054995,3.16965E-09
0.000584151,-0.0000028
0.000640272,-0.00001888
0.000689616,-0.000014656
0.000732593,-0.000001024
0.000781913,1.632E-09
0.000812632,3.71723E-08
0.000818248,-3.23845E-05
0.000841546,-3.65706E-08
0.000944707,2.816E-09
0.000973308,-0.0000104
0.001024944,5.04642E-08
0.001087181,-4.7077E-08
0.001110253,-9.92841E-06
0.001126744,5.45498E-08
0.001198846,-5.39905E-08
0.00121643,-1.84165E-05
0.001254472,6.11049E-08
0.001266296,-6.36184E-08
0.001363816,6.81528E-08
0.001368584,-6.3324E-08
0.001385496,-1.60884E-05
0.001460874,-1.96236E-05
0.00147052,7.31655E-08
0.001565515,-7.27015E-08
0.001575592,7.99087E-08
0.001627556,-8.16047E-08
0.001701773,2.1216E-09
0.001714312,8.4755E-08
0.00177451,-8.50814E-08
0.001829198,1.0688E-09
0.001916463,3.264E-10
0.001931592,9.79141E-08
0.001968664,-9.91941E-08
0.002004552,1.0259E-07
0.002015144,-1.01242E-07
0.002068577,1.43261E-10
0.002137211,-0.000030368
0.002242024,1.19883E-07
0.002264612,-1.15643E-07
0.00231908,1.20048E-07
0.002329845,-1.22925E-07
0.002347645,-0.0000192
0.002452526,4.288E-09
0.002517327,6.8E-10
0.002519567,1.31626E-07
0.002588728,3.31609E-09
0.002605624,-1.35412E-07
0.002666681,-0.000032944
0.002698328,1.42166E-07
0.002751514,-1.40083E-07
0.002811651,-0.000028864
0.00291164,1.58901E-07
0.002924888,-1.54977E-07
0.002955197,-4.26921E-05
0.0029746,1.62242E-07
0.003025181,-1.59644E-07
0.003133599,8.416E-10
0.003146088,1.66451E-07
0.003184255,-1.67385E-07
0.003256376,1.912E-09
0.003271225,-0.000047152
0.003359737,4.6512E-09
0.003366657,1.77594E-07
0.003369257,-1.80942E-07
0.003457555,1.02965E-09
0.003502248,1.85572E-07
0.003561404,-1.82887E-07
0.003618789,-0.000011616
0.00365172,1.93696E-07
0.003718262,-1.92348E-07
0.003747231,-0.000044032
0.00382076,2.06055E-07
0.003830192,-2.03559E-07
0.003864968,-2.82247E-05
0.003910105,-0.000004864
0.003951176,2.1551E-07
0.003993089,-2.10711E-07
0.004096458,4.368E-10
0.004138504,2.20607E-07
0.004171908,-2.22163E-07
0.004256389,-0.00001152
0.004268664,2.2983E-07
0.004344526,-2.29917E-07
0.004369464,2.36697E-07
0.004420943,-2.37855E-07
0.004494504,2.656E-09
0.004505688,2.43621E-07
0.00453224,-2.45948E-07
0.004591025,1.8784E-09
0.004600441,-0.000023584
0.004651144,2.51073E-07
0.00466861,-2.47957E-07
0.00468889,-0.00003072
0.004768019,1.6128E-09
0.004832108,1.3088E-09
0.004906264,-0.000023845
0.004918168,2.68694E-07
0.005007806,-2.6774E-07
0.005064367,1.056E-09
0.005089144,2.74381E-07
0.005098792,-2.74839E-07
0.005121872,-2.59208E-05
0.005132152,2.78031E-07
0.005218192,-2.74E-07
0.005284745,3.552E-10
0.005317242,-0.000025504
