Time (s),Mean Bit Life Time Per Packet
0.0453359013,5.1336e-05
0.0454549273,8.36e-06
0.0455712082,5.364e-05
0.0458818041,5.0232e-05
0.0462944492,5.2872e-05
0.0463540659,5.3488e-05
0.0464788755,5.0296e-05
0.0467637271,5.0144e-05
0.0473547029,1.5112e-05
0.047715987,5.2392e-05
0.047882213,5.3616e-05
0.0479754142,4.9816e-05
0.0484389818,6.2377963e-05
0.0485719656,5.236e-05
0.0486139827,6.376e-06
0.0488418976,5.288e-06
0.049003027,5.3416e-05
0.0493569595,5.1344e-05
0.049556762,5.1144e-05
0.0497066918,5.0072e-05
0.0499861998,9.576e-06
0.0501890098,5.2384e-05
0.0504629642,5.833501e-05
0.050522798,5.0168e-05
0.0507290886,5.2456e-05
0.0507879853,5.3352e-05
0.0508370265,4.392e-06
0.0510725569,5.092e-05
0.0512155987,5.096e-05
0.0517070768,5.0432e-05
0.0518393264,5.368e-05
0.0525673115,1.2655526e-05
0.0525701995,5.3544e-05
0.0526615447,5.1888e-05
0.052844747,5.3088e-05
0.0529786046,5.2944e-05
0.0535777961,5.3128e-05
0.0537742066,5.0536e-05
0.053811591,5.292e-05
0.0539023762,4.9704e-05
0.0539315131,4.84e-06
0.0540233143,5.64e-06
0.0544875595,5.188e-05
0.0545432722,5.1592e-05
0.0550586066,4.992e-05
0.0551095753,5.1888e-05
0.0553084818,4.9792e-05
0.0555881253,5.0432e-05
0.0556710383,5.1344e-05
0.0558444644,5.0768e-05
0.0559306495,5.2952e-05
0.0561603004,5.06e-05
0.0564627761,5.2072e-05
0.0565743701,6.664e-06
0.0568740773,5.2368e-05
0.0570391514,5.144e-05
0.0572909945,5.028e-05
0.0573423957,8.68e-06
0.0575643099,5.3592e-05
0.0576023264,5.3608e-05
0.0577099597,5.324e-05
0.0585129458,5.1216e-05
0.0587063562,5.1624e-05
0.0588446059,5.1872e-05
0.0589706475,5.1912e-05
0.0591360335,5.2296e-05
0.0592439315,5.192e-06
0.0593511642,5.2424e-05
0.0595824791,5.2736e-05
0.0597968978,5.1152e-05
0.0602846479,4.9896e-05
0.0603496487,4.9896e-05
0.0608379827,5.3224e-05
0.0610031608,5.04e-05
0.0610542414,5.348e-05
0.0612020353,5.0272e-05
0.0614432143,5.0448e-05
0.0615532401,1.8472e-05
0.0616473289,5.056e-05
0.0617446261,5.2856e-05
0.0617823956,5.6625123e-05
0.0618820678,5.0296e-05
0.0619983092,5.2536e-05
0.0624016503,5.2872e-05
0.0626772857,5.2504e-05
0.0627775836,5.8e-06
0.0628835409,5.675665e-05
0.0630079779,5.1192e-05
0.0631780206,4.232e-06
0.0634916159,5.2824e-05
0.0636216975,4.9904e-05
0.0636871943,5.34e-05
0.0638321807,5.384e-06
0.0641113436,5.2544e-05
0.0642967619,5.196e-05
0.0644464118,5.0608e-05
0.064542229,5.1424e-05
0.0647385275,4.972e-05
0.064785816,5.3008e-05
0.0648678411,5.0032e-05
0.064945018,5.3208e-05
0.0650665321,3.72e-06
0.0652541099,5.2296e-05
0.0653072465,5.3432e-05
0.0653303594,5.544e-06
0.0655656858,6.3868198e-05
0.0656542909,5.3472e-05
0.0659488385,5.3016e-05
0.0659953112,5.0488e-05
0.0665649743,5.2144e-05
0.066624743,5.2912e-05
0.0667216407,8.808e-06
0.0669506676,5.832e-06
0.0674488333,4.9992e-05
0.0677547571,5.1912e-05
0.0680427927,4.9944e-05
0.0681785544,4.9704e-05
0.0684190134,5.116e-05
0.0684914703,5.3616e-05
0.0685691673,5.0312e-05
0.069011551,5.2690202e-05
0.0691109326,5.070024e-06
0.0695387074,4.984e-05
0.0700597139,5.284e-05
0.0702325801,4.9704e-05
0.0706402896,1.0408e-05
0.0709723092,5.3424e-05
0.0711313352,5.2448e-05
0.0712459927,5.1104e-05
0.0713228817,5.0992e-05
0.0714152908,5.14e-05
0.071515988,5.3096e-05
0.0716005731,5.368e-05
0.0716623019,5.1408e-05
0.0718257679,5.0872e-05
0.0718533448,5.448e-06
0.0723056939,5.0792e-05
0.0724336235,5.072e-05
0.0730138307,5.292e-05
0.0731943376,4.424e-06
0.0734480607,7.144e-06
0.0736558634,3.944e-06
0.0743365833,5.1656e-05
0.0743726637,5.0736e-05
0.0748395255,5.3592e-05
0.0749370787,5.3144e-05
0.0752600828,5.0144e-05
0.0753613486,1.0408e-05
0.0756533037,5.036e-05
0.0756926482,5.3704e-05
0.0757765292,5.3584e-05
0.0759674996,5.0552e-05
0.0768348864,5.2928e-05
0.0771053218,5.136e-05
0.0771680352,4.072e-06
0.0772746932,6.2729421e-05
0.0775825443,9.576e-06
0.07792178,5.1808e-05
0.0780998868,3.912e-06
0.078403554,5.2576e-05
0.0786354535,6.472e-06
0.0791744756,5.3488e-05
0.0792243403,5.2352e-05
0.0792636043,5.2615569e-05
0.0793137659,8.776e-06
0.0794747114,4.972e-05
0.0798232598,5.0264e-05
0.0799045568,5.156e-05
0.0799522054,5.0208e-05
0.0800991992,5.02e-05
0.0802495051,5.1504e-05
0.0804991002,5.4096e-05
0.0805296606,5.0656e-05
0.0807107428,5.2736e-05
0.0810832995,5.1288e-05
0.0811467163,4.9704e-05
0.0814430965,7.08e-06
0.0816267223,4.9704e-05
0.0816684828,5.1464e-05
0.0819828867,5.2864e-05
0.0826041745,5.0144e-05
0.0829773391,5.3304e-05
0.0831798302,1.0792e-05
0.0834766093,5.3568e-05
0.0842175552,6.504e-06
0.0854749383,4.9872e-05
0.0857120378,4.968e-06
0.0859556723,5.36e-05
0.0860943386,4.264e-06
0.0863412617,6.184e-06
0.0867907707,5.0688e-05
0.0868098356,3.752e-06
0.0870202136,5.1128e-05
0.0874845,6.408e-06
0.0877317505,5.2656e-05
0.0878000793,5.2984e-05
0.088249621,5.052e-05
0.0883269979,5.1896e-05
0.0884829044,5.8e-06
0.0886636021,5.0496e-05
0.0888387243,5.3616e-05
0.089139504,5.2392e-05
0.0891782245,5.0112e-05
0.0892668176,5.1704e-05
0.0895056846,5.1568e-05
0.0895733655,5.1248e-05
0.0896700147,4.9896e-05
0.0897402475,5.1128e-05
0.0898210805,5.296e-05
0.0899248259,4.9704e-05
0.0903070386,5.1912e-05
0.0905178413,4.9712e-05
0.0905598663,5.736e-06
0.0907962552,5.4122499e-05
0.0910012473,5.2112e-05
0.0911839455,5.2808e-05
0.0913743399,5.32e-05
0.0924708416,5.1688e-05
0.0925657708,5.3616e-05
0.0927524852,5.0328e-05
0.0928065578,5.34e-05
0.092983088,5.2928e-05
0.0933407405,5.2576e-05
0.0934438223,7.656e-06
0.0937634658,5.0296e-05
0.0940055974,4.424e-06
0.094134391,6.216e-06
0.094338529,5.0352e-05
0.094501859,5.268e-05
0.0946813572,5.1176e-05
0.0948178069,5.2624e-05
0.0949574887,5.1304e-05
0.0951724194,5.1232e-05
0.0953490935,5.3904e-05
0.0954095749,5.384e-06
0.0958488998,4.9704e-05
0.0964095308,5.3328e-05
0.0965555886,5.2384e-05
0.0966257831,2.2577291e-05
0.0968798807,5.1672e-05
0.0971340359,4.9824e-05
0.0972218849,5.0672e-05
0.0973602067,5.0992e-05
0.0976108578,5.364e-05
0.0976998429,5.1624e-05
0.0977460755,4.9856e-05
0.0978246765,5.0456e-05
0.0980246555,7.432e-06
0.0983607871,5.256e-05
0.0985350082,5.9778978e-05
0.0989474185,5.1184e-05
0.0991116365,5.14e-05
0.0992034297,5.2192e-05
0.0997203001,5.3056e-05
0.100084801,5.3552e-05
0.100300651,5.04e-05
0.100346644,5.0392e-05
0.100522398,5.2144e-05
0.101012548,5.0288e-05
0.101058083,5.4822663e-05
0.10129508,7.816e-06
0.101424049,4.9784e-05
0.101627564,5.2296e-05
0.101672589,5.032e-05
0.102022673,7.4e-06
0.102214843,5.2568e-05
0.102456494,5.2216e-05
0.102785755,6.472e-06
0.1029535,5.2216e-05
0.102998645,5.336e-05
0.103155695,5.1408e-05
0.103486027,5.2736e-05
0.103530825,1.7533102e-05
0.104041402,6.4104e-05
0.104080371,4.072e-06
0.1041885,7.19924e-06
0.104673067,6.76e-06
0.104935557,5.3248e-05
