Time (s),Mean Bit Life Time Per Packet
4.21E-05,0.000042056
6.94E-05,0.000017384
0.000144097,0.000045096
0.000188298,0.000024296
0.000275227,0.000021224
0.000344452,0.000025448
0.000413317,0.000038312
0.000460877,0.000052872
0.000468253,2.22475E-05
0.00054995,0.000053944
0.000584151,0.000051144
0.000640272,0.000032264
0.000689616,0.000017608
0.000732593,0.000016584
0.000781913,0.000032904
0.000812632,0.000404627
0.000818248,0.000372242
0.000841546,0.000006536
0.000944707,0.000034696
0.000973308,0.000024296
0.001024944,0.000528938
0.001087181,0.000058168
0.001110253,4.82396E-05
0.001126744,0.000593737
0.001198846,0.000053832
0.00121643,3.54156E-05
0.001254472,0.000646464
0.001266296,0.00001028
0.001363816,0.000691808
0.001368584,0.000058568
0.001385496,4.24796E-05
0.001460874,0.000022856
0.00147052,0.000754511
0.001565515,0.000027496
0.001575592,0.000826583
0.001627556,0.000010536
0.001701773,0.000031752
0.001714312,0.000879302
0.00177451,0.000028488
0.001829198,0.000039176
0.001916463,0.00004244
0.001931592,1.02158E-07
0.001968664,0.00002964
0.002004552,1.05554E-07
0.002015144,4.31194E-05
0.002068577,0.000044552
0.002137211,0.000014184
0.002242024,1.21301E-07
0.002264612,0.000056584
0.00231908,1.25707E-07
0.002329845,0.000027816
0.002347645,0.000008616
0.002452526,0.000051496
0.002517327,0.000058296
0.002519567,1.37455E-07
0.002588728,1.40771E-07
0.002605624,0.000053592
0.002666681,0.000020648
0.002698328,1.44231E-07
0.002751514,0.00004148
0.002811651,0.000012616
0.00291164,1.60162E-07
0.002924888,5.18521E-05
0.002955197,0.00000916
0.0029746,1.63158E-07
0.003025181,0.000035144
0.003133599,0.00004356
0.003146088,1.70807E-07
0.003184255,0.000034216
0.003256376,0.000053336
0.003271225,0.000006184
0.003359737,0.000052696
0.003366657,1.82864E-07
0.003369257,1.92155E-05
0.003457555,0.000029512
0.003502248,1.88523E-07
0.003561404,0.00005636
0.003618789,0.000044744
0.00365172,1.9817E-07
0.003718262,0.000058216
0.003747231,0.000014184
0.00382076,2.07474E-07
0.003830192,3.91447E-05
0.003864968,0.00001092
0.003910105,0.000006056
0.003951176,2.16115E-07
0.003993089,0.00005404
0.004096458,0.000058408
0.004138504,2.26448E-07
0.004171908,0.000042856
0.004256389,0.000031336
0.004268664,2.32964E-07
0.004344526,0.000030472
0.004369464,2.39744E-07
0.004420943,0.000018888
0.004494504,0.000045448
0.004505688,2.48166E-07
0.00453224,0.000022184
0.004591025,0.000040968
0.004600441,0.000017384
0.004651144,2.52812E-07
0.00466861,0.000048552
0.00468889,0.000017832
0.004768019,0.00003396
0.004832108,0.000047048
0.004906264,2.3203E-05
0.004918168,2.71014E-07
0.005007806,0.000032744
0.005064367,0.000043304
0.005089144,2.78712E-07
0.005098792,3.87288E-05
0.005121872,0.000012808
0.005132152,2.79312E-07
0.005218192,0.000053128
0.005284745,0.00005668
0.005317242,0.000031176
0.00533652,2.93549E-07
0.005396123,0.000026056
0.0054703,0.000058232
0.005474332,9.26334E-06
0.005496152,3.03712E-07
0.005530645,0.000029576
0.005559933,0.000005864
0.005678494,0.000048424
0.005709904,3.15787E-07
0.005724983,0.000043912
0.005755743,0.000029672
0.005785256,0.000026184
0.005820017,0.000003944
0.005862568,3.21653E-07
0.005873129,0.000018056
0.005955474,0.0000274
0.006046843,3.33681E-07
0.006049859,0.000062784
0.006078763,0.000051688
0.006136076,0.000055
0.006174628,3.37559E-07
0.006176388,0.000054312
0.006246373,0.000040296
0.006287854,0.000016776
0.006410408,3.53737E-07
0.00642812,0.00005804
0.006487376,0.000048296
0.006501,3.55496E-07
0.006554761,0.00005268
0.006625866,0.000035784
0.006651064,3.66103E-07
0.006726587,0.000052504
0.006746244,0.00000916
0.006854741,0.000043656
0.006880216,3.79018E-07
0.00689135,0.000040264
0.006978895,0.000028808
0.007002824,3.85278E-07
0.007034272,0.000018184
0.007158321,0.000044232
0.007172697,3.96966E-07
0.00722508,3.96004E-07
0.007239802,0.000032712
0.007290979,0.000030888
0.007358524,0.000011432
0.007411488,4.10445E-07
0.007419613,0.00000452
0.007439296,4.08925E-07
0.007514605,0.000041512
0.007571158,0.000049064
0.007603782,0.000047688
0.007629071,0.000027976
0.007642616,4.21457E-07
0.007695767,0.000051672
0.007760633,0.000026536
0.007799145,0.000015048
0.007855352,4.35031E-07
0.007922378,0.00004228
0.007985732,0.000014632
0.007996964,4.42292E-07
0.008089556,0.000052456
0.008156005,0.000056904
0.008187854,0.000023752
0.008220184,4.56014E-07
0.008277655,0.000028552
0.008321904,0.0000218
0.008326392,4.59335E-07
0.008390321,0.000006216
0.008478889,4.68784E-07
0.008483345,0.00006324
0.008568802,0.000050696
0.008587368,4.73332E-07
0.008592683,0.000013576
0.008673512,4.76946E-07
0.00871282,0.000048712
0.008743965,0.000014856
0.008843072,4.90402E-07
0.008865526,0.000053416
0.008927807,0.000054696
0.008992616,0.000058504
0.009058121,0.000024008
0.009075033,5.03698E-07
0.009166714,0.0000566
0.009171146,1.60314E-05
0.009281227,5.15218E-07
0.009284739,0.000063624
0.009339356,0.00004724
0.009379524,0.000052408
0.009400485,0.000011368
0.009461704,5.23665E-07
0.00948959,0.000014472
0.009623023,0.000052904
0.009650824,5.33677E-07
0.009659544,0.000008424
0.009742329,0.000053208
0.009764954,0.000005832
0.00982572,5.42367E-07
0.009840867,0.000016744
0.009908699,0.000029576
0.00995806,0.000040936
0.009980856,5.5318E-07
0.00999874,0.000036616
0.010065381,0.000041256
0.010074184,5.56413E-07
0.010111502,0.000006376
0.010200232,5.65018E-07
0.010211271,0.000011144
0.010233784,5.65073E-07
0.010305328,0.0000562
0.010369737,0.000057608
0.010382168,5.76211E-07
0.010387704,3.15747E-05
0.010439384,5.76833E-07
0.010446946,0.000023816
0.010573203,0.000058072
0.01059546,0.000028328
